604,Parente & Brian Snõddy,['Hamletback Goliath'],['Hamletback Goliath']
71,Gary Ruddell,"['Reborn Hero', 'Torment', 'Apocalypse', 'Judgment', 'Planechase 2012 Edition', 'Seventh Edition', 'Archenemy', 'Ninth Edition', 'Onslaught', 'Planechase Anthology', 'Tenth Edition', 'Invasion', 'Odyssey', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Mercadian Masques']","['Reborn Hero', 'Breakthrough', 'Accelerate', 'Manacles of Decay', 'Cetavolver', 'Wild Research', 'Spirit Cairn', 'Krosan Reclamation', 'Erratic Explosion', 'Circle of Protection: Red', 'Sacred Ground', 'Standing Troops', 'Mana Breach', 'Unholy Strength', 'Creeping Mold', 'Femeref Archers', ""Nature's Resurgence"", 'Pride of Lions', 'Vampiric Dragon', 'Sacred Ground', 'Execute', 'Demolish', 'Utopia Tree', 'Aurification', 'Chain of Plasma', 'Dwarven Blastminer', 'Erratic Explosion', 'Erratic Explosion', 'Demolish', 'Creeping Mold', 'Worldly Counsel', 'Overload', 'Utopia Tree', 'Sabertooth Nishoba', 'Execute', 'Ghastly Demise', 'Bash to Bits', 'Demolish', 'Mudhole', 'Diligent Farmhand', 'Muscle Burst', 'Mystic Enforcer', 'Vampiric Dragon', 'Mystic Enforcer', 'Circle of Protection: Red', 'Sacred Ground', 'Execute', 'Demolish', 'Creeping Mold', 'Task Force', 'Mercadian Lift']"
47,Cyril Van Der Haegen,"[""Summoner's Bane"", 'Zendikar', 'Unhinged', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Alara Reborn', 'Khans of Tarkir', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Magic 2010', 'Commander 2017', 'Commander 2013 Edition', 'Worldwake', 'Shards of Alara', 'Archenemy', 'Future Sight', 'Rise of the Eldrazi', 'Ravnica: City of Guilds', 'Planechase Anthology', 'Conflux', 'Coldsnap', 'Tenth Edition', 'Lorwyn', 'Conspiracy: Take the Crown', 'Shadowmoor', 'Fifth Dawn', 'Magic Origins', 'Magic 2015 Core Set']","[""Summoner's Bane"", 'Ravenous Trap', 'Quest for Pure Flame', 'Jwar Isle Refuge', 'S.N.O.T.', 'Sigil of the Empty Throne', 'Jwar Isle Refuge', 'Whirlpool Whelm', 'Jwar Isle Refuge', 'Lightning Reaver', 'Pale Recluse', 'Sangrite Backlash', 'Ghostfire Blade', 'Sigil of the Empty Throne', 'Kitesail', 'Agent of Erebos', 'Eidolon of the Great Revel', 'Golden Hind', 'Sage Owl', 'Jwar Isle Refuge', 'Tidehollow Strix', 'Jwar Isle Refuge', 'Hada Freeblade', 'Snapping Creeper', 'Kitesail', 'Thoughtcutter Agent', 'Tidehollow Strix', 'Pale Recluse', 'Knight of Sursi', 'Street Wraith', 'Ghostfire', 'Whetwheel', 'Smite', 'Joraga Treespeaker', 'Grozoth', 'Civic Wayfinder', 'Circu, Dimir Lobotomist', 'Sigil of the Empty Throne', 'Jwar Isle Refuge', 'Sigil of the Empty Throne', 'Traumatic Visions', 'Maelstrom Archangel', 'Boreal Griffin', 'Braid of Fire', 'Civic Wayfinder', 'Whirlpool Whelm', 'Springleaf Drum', 'Traumatic Visions', 'Kitesail', 'Elemental Mastery', 'Merrow Grimeblotter', 'Vexing Shusher', 'Spinal Parasite', 'Sigil of the Empty Throne', ""Rogue's Gloves""]"
451,Jama Jurabaev,"['Kalastria Nightwatch', 'Battle for Zendikar', 'Oath of the Gatewatch', 'Eldritch Moon', 'Conspiracy: Take the Crown', 'Shadows over Innistrad']","['Kalastria Nightwatch', 'Processor Assault', 'Plated Crusher', 'Crush of Tentacles', 'Overwhelming Denial', 'Visions of Brutality', 'Bedlam Reveler', 'Deadly Designs', 'Expose Evil', 'Seagraf Skaab', 'Pyre Hound', 'Scourge Wolf']"
426,Hector Ortiz,"['Midlife Upgrade', 'Unstable']","['Midlife Upgrade', 'Subcontract', 'Garbage Elemental (a)', 'Garbage Elemental (b)', 'Garbage Elemental (c)', 'Garbage Elemental (d)', 'Garbage Elemental (e)', 'Garbage Elemental (f)', 'Shellephant']"
215,Adam Paquette,"['Griptide', 'Theros', 'Planechase 2012 Edition', 'Gatecrash', ""Dragon's Maze"", 'Dark Ascension', 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Journey into Nyx', 'Battle for Zendikar', 'Commander Anthology', 'Commander 2017', 'Magic 2014 Core Set', 'Fate Reforged', 'Born of the Gods', 'Avacyn Restored', 'Innistrad', 'Dominaria', 'Dragons of Tarkir', 'Aether Revolt', 'Return to Ravnica', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Eldritch Moon', 'Kaladesh', ""Commander's Arsenal"", 'Shadows over Innistrad', 'Magic Origins', 'Magic 2015 Core Set']","['Griptide', 'Sealock Monster', 'Lightning Strike', 'Peak Eruption', 'Vulpine Goliath', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Kessig', 'Rust Scarab', 'Call of the Nightwing', 'Glaring Spotlight', 'Varolz, the Scar-Striped', 'Zhur-Taa Ancient', 'Beck', 'Call', 'Grim Flowering', 'Haunted Fengraf', 'Bloodfell Caves', 'Opulent Palace', 'Island', 'Swamp', 'Swamp', 'Forest', 'Trading Post', 'Opulent Palace', 'Awaken the Sky Tyrant', 'Daxos the Returned', 'Fall of the Hammer', 'Trading Post', 'Revel of the Fallen God', 'Canopy Vista', 'Cinder Glade', 'Prairie Stream', 'Smoldering Marsh', 'Sunken Hollow', 'Plains', 'Plains', 'Island', 'Island', 'Swamp', 'Swamp', 'Mountain', 'Mountain', 'Forest', 'Forest', ""Freyalise, Llanowar's Fury"", 'Grim Flowering', 'Haunted Fengraf', 'Deathbringer Regent', 'Bloodfell Caves', 'Opulent Palace', 'Colossal Whale', 'Trading Post', 'Supplant Form', 'Wildcall', 'Bloodfell Caves', 'Swamp', 'Forest', 'Griffin Dreamfinder', 'Revoke Existence', 'Nullify', 'Sudden Storm', 'Fall of the Hammer', 'Fated Conflagration', 'Thunderous Wrath', ""Druid's Familiar"", 'Plains', 'Island', 'Swamp', 'Mountain', 'Plains', 'Island', 'Swamp', 'Mountain', 'Precognition Field', 'Fiery Intervention', 'The Mending of Dominaria', 'Sylvan Awakening', 'Damping Sphere', 'Deathbringer Regent', 'Pristine Skywise', 'Island', 'Swamp', 'Swamp', 'Mechanized Production', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', ""Freyalise, Llanowar's Fury"", 'Grim Flowering', 'Trading Post', 'Haunted Fengraf', 'Deathbringer Regent', 'Sentinel Dispatch', 'Worldknit', 'Paliano, the High City', 'Kessig', 'Waxing Moon', 'Spell Queller', ""Cultist's Staff"", 'Geist-Fueled Scarecrow', 'Nephalia Academy', 'Aradara Express', 'Blooming Marsh', 'Spirebluff Canal', 'Swamp', 'Swamp', 'Command Tower', 'Epitaph Golem', 'Foreboding Ruins', 'Game Trail', 'Plains', 'Island', ""Jace's Sanctum"", 'Mage-Ring Responder', 'Plains', 'Boonweaver Giant', 'Soul of Innistrad', 'Lightning Strike', ""Miner's Bane"", 'Hornet Nest', 'Radiant Fountain']"
170,Douglas Shuler,"['Blast from the Past', 'Unhinged', 'Revised Edition', ""Urza's Destiny"", 'Mirage', 'Antiquities', 'Tempest', 'Fifth Edition', 'Stronghold', 'Legends', 'Visions', 'Limited Edition Beta', 'Seventh Edition', 'Limited Edition Alpha', 'Unlimited Edition', 'Ice Age', 'Ninth Edition', 'Vanguard', 'Unglued', 'Fourth Edition', 'Betrayers of Kamigawa', 'Arabian Nights', 'Invasion', 'Homelands', 'Classic Sixth Edition', 'Fallen Empires', 'The Dark', 'Time Spiral ""Timeshifted""', ""Urza's Legacy"", 'Alliances', 'Weatherlight']","['Blast from the Past', 'Old Fogey', 'Glasses of Urza', 'Contract from Below', 'Demonic Tutor', 'Drain Life', 'Frozen Shade', 'Hypnotic Specter', 'Unholy Strength', 'Weakness', 'Animate Artifact', 'Drain Power', 'Prodigal Sorcerer', 'Unstable Mutation', 'Unsummon', 'Volcanic Eruption', 'Force of Nature', 'Tranquility', 'Dwarven Warriors', 'Power Surge', 'Uthden Troll', 'Benalish Hero', 'Circle of Protection: White', 'Northern Paladin', 'Righteousness', 'Serra Angel', 'Veteran Bodyguard', 'Mountain', 'Mountain', 'Mountain', 'Flicker', 'Scent of Jasmine', 'Compost', 'Yavimaya Hollow', 'Elixir of Vitality', 'Null Chamber', 'Shadowbane', 'Reparations', 'Island', 'Island', 'Island', 'Island', 'Candelabra of Tawnos', ""Tawnos's Wand"", 'Triskelion', 'Power Artifact', 'Artifact Ward', 'Escaped Shapeshifter', 'Gallantry', 'Forest', 'Forest', 'Forest', 'Forest', 'Glasses of Urza', 'Pentagram of the Ages', 'Gloom', 'Prodigal Sorcerer', 'Unsummon', 'Tranquility', 'Dwarven Warriors', 'Orcish Conscripts', 'The Brute', 'Benalish Hero', ""D'Avenant Archer"", 'Icatian Scout', 'Spike Colony', 'Anti-Magic Aura', 'Teleport', 'Shelkin Brownie', 'Falling Star', ""D'Avenant Archer"", 'Enchanted Being', ""Heaven's Gate"", 'Infinite Authority', 'Shield Wall', 'Mob Mentality', 'Glasses of Urza', 'Icy Manipulator', 'Contract from Below', 'Demonic Tutor', 'Drain Life', 'Frozen Shade', 'Hypnotic Specter', 'Unholy Strength', 'Weakness', 'Animate Artifact', 'Drain Power', 'Prodigal Sorcerer', 'Psionic Blast', 'Unsummon', 'Volcanic Eruption', 'Force of Nature', 'Tranquility', 'Dwarven Warriors', 'Power Surge', 'Uthden Troll', 'Benalish Hero', 'Circle of Protection: White', 'Northern Paladin', 'Righteousness', 'Serra Angel', 'Veteran Bodyguard', 'Mountain', 'Mountain', 'Mountain', 'Fire Elemental', 'Lone Wolf', 'Glasses of Urza', 'Icy Manipulator', 'Contract from Below', 'Demonic Tutor', 'Drain Life', 'Frozen Shade', 'Hypnotic Specter', 'Unholy Strength', 'Weakness', 'Animate Artifact', 'Drain Power', 'Prodigal Sorcerer', 'Psionic Blast', 'Unsummon', 'Volcanic Eruption', 'Force of Nature', 'Tranquility', 'Dwarven Warriors', 'Power Surge', 'Uthden Troll', 'Benalish Hero', 'Circle of Protection: White', 'Northern Paladin', 'Righteousness', 'Serra Angel', 'Veteran Bodyguard', 'Mountain', 'Mountain', 'Glasses of Urza', 'Icy Manipulator', 'Contract from Below', 'Demonic Tutor', 'Drain Life', 'Frozen Shade', 'Hypnotic Specter', 'Unholy Strength', 'Weakness', 'Animate Artifact', 'Drain Power', 'Prodigal Sorcerer', 'Psionic Blast', 'Unsummon', 'Volcanic Eruption', 'Force of Nature', 'Tranquility', 'Dwarven Warriors', 'Power Surge', 'Uthden Troll', 'Benalish Hero', 'Circle of Protection: White', 'Northern Paladin', 'Righteousness', 'Serra Angel', 'Veteran Bodyguard', 'Mountain', 'Mountain', 'Mountain', 'Baton of Morale', 'Pentagram of the Ages', 'Krovikan Elementalist', ""Lim-Dûl's Cohort"", 'Oath of Lim-Dûl', 'Zuran Enchanter', 'Shambling Strider', 'Snowblind', 'Orcish Conscripts', 'Tor Giant', 'Battle Cry', 'Hallowed Ground', 'Snow-Covered Swamp', 'Swamp', 'Swamp', 'Swamp', 'Mending Hands', 'Greater Good', 'Gerrard', 'Prodigal Sorcerer Avatar', 'B.F.M. (Big Furry Monster)', 'B.F.M. (Big Furry Monster)', 'B.F.M. (Big Furry Monster, Right Side)', 'B.F.M. (Big Furry Monster, Right Side)', 'Cardboard Carapace', 'Glasses of Urza', ""Tawnos's Wand"", 'Triskelion', 'Drain Life', 'Frozen Shade', 'Hypnotic Specter', 'Marsh Gas', 'Unholy Strength', 'Weakness', 'Animate Artifact', 'Drain Power', 'Prodigal Sorcerer', 'Unstable Mutation', 'Unsummon', 'Volcanic Eruption', 'Force of Nature', 'Tranquility', 'Dwarven Warriors', 'Fissure', 'Power Surge', 'Uthden Troll', 'Benalish Hero', 'Circle of Protection: White', 'Northern Paladin', 'Righteousness', 'Serra Angel', 'Mountain', 'Mountain', 'Mountain', 'Mending Hands', 'Vital Surge', 'Khabál Ghoul', 'Oubliette', 'Oubliette', 'Unstable Mutation', 'Mountain', 'Island of Wak-Wak', 'Kavu Runner', 'Quirion Elves', 'Clockwork Gnomes', 'Chandler', 'Joven', 'Death Speakers', ""D'Avenant Archer"", 'Prodigal Sorcerer', 'Unsummon', 'Fit of Rage', 'Tranquility', 'Glasses of Urza', 'Pentagram of the Ages', 'Plains', 'Island', 'Swamp', 'Ring of Renewal', 'Homarid Spawning Bed', 'Homarid Warrior', 'River Merfolk', 'Dwarven Soldier', 'Orcish Veteran', 'Icatian Infantry', 'Icatian Scout', 'Marsh Gas', 'Mana Vortex', 'Whippoorwill', 'Fissure', 'Fasting', 'Prodigal Sorcerer', 'Psionic Blast', 'Unstable Mutation', 'Uthden Troll', 'Ghitu War Cry', 'Viashino Heretic', 'Crawlspace', 'Quicksilver Amulet', 'Lodestone Bauble', 'Soldier of Fortune', 'Juniper Order Advocate', 'Royal Herbalist', 'Royal Herbalist', 'Llanowar Sentinel', 'Dwarven Berserker', 'Fit of Rage', 'Southern Paladin']"
57,Volkan Baga,"['Joraga Bard', 'Planar Chaos', 'Theros', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Gatecrash', ""Dragon's Maze"", 'Alara Reborn', 'Dark Ascension', 'Magic 2011', 'Khans of Tarkir', 'Commander 2016', 'Commander 2015', 'Magic 2013', 'Battle for Zendikar', 'Commander Anthology', 'Magic 2010', 'Commander 2017', 'Commander 2013 Edition', 'Magic 2014 Core Set', 'Oath of the Gatewatch', 'Fate Reforged', 'Worldwake', 'Shards of Alara', 'Born of the Gods', 'Avacyn Restored', 'Innistrad', 'Dominaria', 'Explorers of Ixalan', 'Dragons of Tarkir', 'Aether Revolt', 'Return to Ravnica', 'Scars of Mirrodin', 'Rise of the Eldrazi', 'Commander 2014', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Conflux', 'Coldsnap', 'Tenth Edition', 'Eldritch Moon', 'Kaladesh', ""Commander's Arsenal"", 'Conspiracy: Take the Crown', 'Amonkhet', 'Hour of Devastation', 'Ixalan', 'New Phyrexia', 'Mirrodin Besieged', 'Shadows over Innistrad', 'Magic 2012', 'Magic Origins', 'Magic 2015 Core Set']","['Joraga Bard', 'Sunlance', 'Timecrafting', 'Cavern Lampad', 'Demolish', 'Leafcrown Dryad', 'Tymaret, the Murder King', 'Sunken Hope', 'Edric, Spymaster of Trest', 'Court Street Denizen', 'Ripscale Predator', 'Ubul Sar Gatekeepers', 'Korozda Gorgon', 'Dauntless Escort', 'Gloryscale Viashino', ""Archangel's Light"", 'Highborn Ghoul', 'Increasing Ambition', 'Ghoultree', 'Palace Guard', 'Tormenting Voice', 'Kin-Tree Warden', 'Siege Rhino', 'Cranial Archive', 'Academy Elite', 'Dauntless Escort', 'Edric, Spymaster of Trest', 'Seaside Citadel', 'Karlov of the Ghost Council', 'War Falcon', ""Chandra's Fury"", 'Forest', 'Ondu Champion', 'Reckless Cohort', 'Angelic Captain', 'Seaside Citadel', 'Palace Guard', 'Edgar Markov', 'Blood Tribute', ""Mirari's Wake"", 'Seaside Citadel', 'Seaside Citadel', 'Forest', 'Grip of the Roil', 'Natural State', 'Sylvan Advocate', 'Dragonscale General', 'Sultai Runemark', 'Map the Wastes', 'Halimar Depths', 'Elspeth, Knight-Errant', 'Ranger of Eos', 'Stoic Angel', 'Seaside Citadel', 'Marshmist Titan', 'Pheres-Band Tromper', 'Fanatic of Xenagos', 'Riders of Gavony', 'Gloom Surgeon', 'Unhallowed Pact', 'Armored Skaab', 'Skaab Goliath', 'Snapcaster Mage', 'Abattoir Ghoul', 'Somberwald Spider', ""Warlord's Fury"", 'Gilded Lotus', 'Crumbling Necropolis', 'Qarsi Sadist', 'Dragon Fodder', 'Magmatic Chasm', 'Tormenting Voice', 'Defiant Salvager', 'Freejam Regent', 'Armada Wurm', 'Golgari Longlegs', 'Temple Garden', 'Clone Shell', 'Mindslaver', 'Mox Opal', 'Student of Warfare', 'Brimstone Mage', 'Tuktuk the Explorer', 'Realms Uncharted', 'Tuktuk the Explorer', 'The Mighty Will Fall', 'Council Guardian', 'Academy Elite', 'Muzzio, Visionary Architect', 'Unhallowed Pact', 'Edric, Spymaster of Trest', ""Mirari's Wake"", 'Sunken Hope', 'Frontline Sage', 'Feast of Flesh', 'Stromgald Crusader', 'Angel of Mercy', 'Holy Day', 'Sunken Hope', 'Doomed Necromancer', 'Borrowed Grace', 'Thraben Standard Bearer', 'Borrowed Malevolence', 'Borrowed Hostility', 'Angel of Invention', 'Panharmonicon', ""Woodweaver's Puzzleknot"", 'Edric, Spymaster of Trest', ""Mirari's Wake"", 'Inquisition of Kozilek', 'Tormenting Voice', 'Those Who Serve', 'Pitiless Vizier', 'Plains', 'Dutiful Servants', 'Sanctum Seeker', 'Wanted Scoundrels', 'Vona, Butcher of Magan', 'Invader Parasite', 'Kiln Walker', 'Thopter Assembly', 'Haunted Cloak', 'Neglected Heirloom', 'Ashmouth Blade', 'Forest', 'Relic Seeker', 'Skaab Goliath', ""Chandra's Fury"", 'The Chain Veil', 'Shield of the Avatar']"
213,Christopher Burdett,"['Breaching Hippocamp', 'Theros', 'Journey into Nyx', 'Commander 2017', 'Dragons of Tarkir', 'Aether Revolt', 'Kaladesh', 'Conspiracy: Take the Crown', 'Amonkhet']","['Breaching Hippocamp', 'Loathsome Catoblepas', 'Ravenous Leucrocota', 'Shifting Shadow', 'Ancient Carp', 'Gudul Lurker', 'Lathnu Sailback', 'Fretwork Colony', 'Salivating Gremlins', 'Narnam Cobra', 'Coveted Peacock', 'Ravenous Leucrocota', 'Festering Mummy']"
73,Rebecca Guay,"['Transcendence', 'Torment', 'Dissension', 'Apocalypse', 'Unhinged', 'Judgment', 'Planeshift', 'Eventide', 'Planechase 2012 Edition', 'Magic: The Gathering-Commander', 'Time Spiral', 'Mirage', 'Commander 2016', 'Tempest', 'Commander Anthology', 'Fifth Edition', 'Magic 2010', 'Stronghold', ""Urza's Saga"", 'Commander 2017', 'Commander 2013 Edition', 'Saviors of Kamigawa', 'Magic 2014 Core Set', 'Morningtide', 'Seventh Edition', 'Exodus', 'Archenemy', 'Ninth Edition', 'Vanguard', 'Onslaught', 'Future Sight', 'Prophecy', 'Commander 2014', 'Champions of Kamigawa', 'Archenemy: Nicol Bolas', 'Magic: The Gathering—Conspiracy', 'Planechase Anthology', 'Betrayers of Kamigawa', 'Tenth Edition', 'Invasion', 'Classic Sixth Edition', 'Odyssey', 'Lorwyn', 'Conspiracy: Take the Crown', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Nemesis', ""Urza's Legacy"", 'Shadowmoor', 'Alliances', 'Magic 2012', 'Weatherlight', 'Magic Origins', 'Mercadian Masques']","['Transcendence', 'Dwell on the Past', 'Invigorating Falls', 'Freewind Equenaut', 'Silkwing Scout', 'Pride of the Clouds', 'Shimmering Mirage', ""Gaea's Balance"", ""Squee's Embrace"", 'Little Girl', 'Commander Eesha', 'Wonder', 'Seedtime', 'Keldon Mantle', ""Planeswalker's Favor"", ""Oona's Grace"", 'Wilderness Hypnotist', 'Auramancer', 'Wonder', 'Greenseeker', 'Scryb Ranger', 'Yavimaya Dryad', 'Memory Lapse', 'Vigilant Martyr', 'Asmira, Holy Avenger', 'Vitalizing Cascade', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Perish', 'Heartwood Dryad', 'Respite', 'Root Maze', 'Sky Spirit', 'Pine Barrens', 'Thornwind Faeries', 'Wonder', 'Priest of Titania', 'Phantom Monster', 'Sea Sprite', 'Wanderlust', 'Elvish Piper', 'Regenerate', 'Bandage', 'Mulch', 'Samite Blessing', 'Wall of Tears', 'Youthful Knight', 'Angelic Page', ""Serra's Hymn"", 'Silent Attendant', 'Abundance', 'Carpet of Flowers', 'Elvish Lyrist', 'Fecundity', 'Hush', 'Priest of Titania', 'Abundance', 'Plains', 'Island', 'Swamp', 'Mountain', 'Forest', 'Thornwind Faeries', 'Wonder', 'Fecundity', 'Oboro Breezecaller', 'Fiddlehead Kami', 'Haru-Onna', 'Auramancer', 'Stream of Unconsciousness', 'Bitterblossom', 'Orchard Warden', 'Ancestral Memories', 'Boomerang', 'Coral Merfolk', 'Twiddle', 'Dark Banishing', 'Thoughtleech', 'Mana Breach', 'Resuscitate', 'Wood Elves', 'Yavimaya Dryad', ""Serra's Blessing"", 'Elvish Piper', 'Orim', 'Titania', 'Words of Worship', 'Dispersing Orb', 'Psychic Trance', 'Cabal Executioner', 'Bloodline Shaman', ""Enchantress's Presence"", 'Taunting Elf', 'Aven Mindcensor', 'Aura Fracture', 'Calming Verse', 'Priest of Titania', 'Hana Kami', 'Joyous Respite', 'Hair-Strung Koto', 'Youthful Knight', ""Traveler's Cloak"", 'Respite', 'Sky Spirit', 'Auramancer', 'Blessing of Leeches', 'Petalmane Baku', 'Bandage', 'Youthful Knight', 'Abundance', 'Elvish Piper', 'Root Maze', 'Wall of Wood', 'Atalya, Samite Master', 'Protective Sphere', 'Mana Maze', ""Traveler's Cloak"", 'Vodalian Hypnotist', 'Pulse of Llanowar', 'Quirion Trailblazer', ""Seer's Vision"", ""Serra's Blessing"", 'Perish', 'Elven Cache', 'Auramancer', 'Embolden', 'Predict', 'Holistic Wisdom', ""Moment's Peace"", 'Nantuko Shrine', 'Kithkin Healer', 'Drowner of Secrets', 'Spellstutter Sprite', 'Peppersmoke', 'Cloudcrown Oak', 'Lace with Moonglove', 'Sylvan Echoes', 'Lace with Moonglove', ""Gaea's Blessing"", 'Fecundity', 'Animate Land', 'Fog Patch', 'Devout Harpist', 'Thornwind Faeries', 'Defense of the Heart', 'Enchanted Evening', 'Dawnglow Infusion', 'Heartmender', 'Kaysa', ""Nature's Chosen"", 'Enslaved Scout', 'Enslaved Scout', 'Noble Steeds', 'Noble Steeds', 'Sustaining Spirit', 'Auramancer', ""Gaea's Blessing"", 'Angelic Renewal', ""Serra's Blessing"", 'Auramancer', 'Crackdown', 'Reverent Mantra', 'Diplomatic Escort', 'Dark Ritual', 'Strongarm Thug', 'Hammer Mage', 'Tectonic Break', 'Volcanic Wind', 'Briar Patch', 'Sacred Prey', 'Vernal Equinox', 'Saprazzan Cove']"
189,Matthew D. Wilson,"['Silver Seraph', 'Judgment', 'Magic: The Gathering-Commander', 'Mirrodin', ""Urza's Destiny"", 'Commander 2016', 'Darksteel', 'Commander 2015', 'Magic 2013', 'Tempest', 'Commander Anthology', 'Scourge', 'Magic 2010', 'Stronghold', ""Urza's Saga"", 'Commander 2013 Edition', 'Seventh Edition', 'Exodus', 'Archenemy', 'Ninth Edition', 'Vanguard', 'Onslaught', 'Prophecy', 'Unglued', 'Magic: The Gathering—Conspiracy', 'Tenth Edition', 'Invasion', 'Time Spiral ""Timeshifted""', 'Eighth Edition', 'Nemesis', ""Urza's Legacy"", 'Legions', 'Fifth Dawn', 'Mercadian Masques']","['Silver Seraph', 'Masked Gorgon', 'Breaking Point', 'Fallen Angel', 'Luminous Angel', 'Tel-Jilad Chosen', 'Tethered Griffin', 'Rayne, Academy Chancellor', 'Treachery', 'Yavimaya Enchantress', 'Dragon Mage', 'Furnace Dragon', 'Day of the Dragons', 'Dragon Mage', 'Revive', 'Phyrexian Hulk', 'Dauthi Mercenary', 'Kezzerdrix', 'Skyshroud Troll', 'Avenging Angel', 'Soltari Lancer', 'Selenia, Dark Angel', 'Fallen Angel', 'Day of the Dragons', 'Soul Collector', 'Dragon Mage', 'Karona, False God', 'Telepathy', 'Dream Halls', 'Heat of Battle', 'Rabid Rats', 'Stronghold Assassin', 'Temper', 'Disciple of Law', 'Herald of Serra', 'Seasoned Marshal', 'Telepathy', 'Purging Scythe', 'Stronghold Assassin', 'Knight Errant', 'Serra Advocate', 'Exalted Dragon', 'Keeper of the Mind', 'Kamahl, Fist of Krosa', 'Ballista Squad', 'Seasoned Marshal', 'Telepathy', 'Spineless Thug', 'Yavimaya Enchantress', 'Phyrexian Hulk', 'Maraxus', 'Serra', 'Pacifism', 'Kamahl, Fist of Krosa', 'Flay', 'Jolrael, Empress of Beasts', 'Miss Demeanor', 'Sex Appeal', 'Reya Dawnbringer', 'Ballista Squad', 'Reya Dawnbringer', 'Spirit Weaver', 'Telepathy', 'Spineless Thug', 'Obsidian Acolyte', 'Reya Dawnbringer', 'Spirit Weaver', 'Wash Out', ""Urza's Rage"", 'Soul Collector', 'Jolrael, Empress of Beasts', 'Seasoned Marshal', 'Coastal Piracy', 'Telepathy', 'Fallen Angel', 'Spineless Thug', 'Revive', 'Yavimaya Enchantress', 'Phyrexian Hulk', 'Daze', 'Spineless Thug', 'Palinchron', 'Vile Deacon', 'Mephidross Vampire', 'Ballista Squad', 'Ramosian Captain', 'Coastal Piracy', 'Crag Saurian', 'Kris Mage', 'Revive']"
