0,2,Aven Riftwatcher
1,*,Benalish Commander
2,4,"Crovax, Ascendant Hero"
4,6,Dust Elemental
5,2,Ghost Tactician
7,2,Magus of the Tabernacle
9,2,Pallid Mycoderm
10,2,Poultice Sliver
13,2,Riftmarked Knight
15,1,Saltfield Recluse
17,1,Shade of Trokair
18,3,Stonecloaker
19,4,Stormfront Riders
20,3,Voidstone Gargoyle
21,2,Whitemane Lion
22,5,Calciderm
23,2,Malach of the Dawn
25,0,Mesa Enchantress
26,0,Mycologist
28,1,Revered Dead
29,1,Sinew Sliver
31,*,Aeon Chronicler
32,*,Aquamorph Entity
34,0,Body Double
35,2,"Braids, Conjurer Adept"
36,3,Chronozoa
39,1,Dreamscape Artist
41,4,Jodah's Avenger
42,0,Magus of the Bazaar
45,2,Shaper Parasite
47,3,Synchronous Sliver
48,*,Tidewalker
49,1,Timebender
50,2,Veiling Oddity
54,2,Gossamer Phantasm
55,1,Merfolk Thaumaturgist
58,*,Primal Plasma
59,1,Riptide Pilferer
60,1,Serendib Sorcerer
61,4,Serra Sphinx
62,1,Big Game Hunter
63,1,Blightspeaker
64,4,Brain Gorgers
68,3,Deadly Grub
72,4,Magus of the Coffers
74,3,Mirri the Cursed
75,3,Muck Drubb
76,6,Phantasmagorian
77,1,Ridged Kusite
78,*,Roiling Horror
79,3,Spitting Sliver
82,7,Waning Wurm
83,5,Bog Serpent
85,1,Dunerider Outlaw
89,1,Rathi Trapper
92,0,Aether Membrane
93,6,"Akroma, Angel of Fury"
94,4,Battering Sliver
95,*,Detritivore
98,1,Firefright Mage
100,3,Hammerheim Deadeye
101,3,Keldon Marauders
102,5,Lavacore Elemental
103,5,Magus of the Arena
104,4,Needlepeak Spider
106,2,Stingscourger
107,3,Sulfur Elemental
109,3,Torchling
110,6,Volcano Hellion
117,2,Blood Knight
119,2,Molten Firebird
120,1,Prodigal Pyromancer
122,4,Reckless Wurm
123,6,Shivan Wumpus
124,2,Simian Spirit Guide
125,2,Skirk Shaman
126,2,Ana Battlemage
127,1,Citanul Woodreaders
128,3,Deadwood Treefolk
130,*,Fungal Behemoth
131,3,Giant Dustwasp
133,5,Jedit Ojanen of Efrava
134,2,Kavu Predator
136,1,Magus of the Library
