0,1,Ballyrush Banneret
1,4,Battletide Alchemist
2,2,Burrenton Bombardier
3,3,Burrenton Shield-Bearers
4,1,Cenn's Tactician
5,2,Changeling Sentinel
12,10,Indomitable Ancients
13,1,Kinsbaile Borderguard
14,2,Kinsbaile Cavalier
15,2,Kithkin Zephyrnaut
16,3,Meadowboon
17,1,Mosquito Guard
18,2,Order of the Golden Cricket
19,2,Preeminent Captain
21,3,Reveillark
22,0,Shinewend
23,4,Stonehewer Giant
24,2,Stonybrook Schoolmaster
26,4,Wandering Graybeard
29,2,Dewdrop Spy
32,2,Fencer Clique
33,0,Floodchaser
34,2,Grimoire Thief
35,1,Ink Dissolver
36,2,Inspired Sprite
38,1,Latchkey Faerie
39,1,Merrow Witsniper
41,1,Mothdust Changeling
43,3,Nevermaker
46,2,Sage of Fables
48,2,Sigil Tracer
49,3,Slithermuse
50,1,Stonybrook Banneret
52,10,Supreme Exemplar
54,1,Vendilion Clique
55,3,Waterspout Weavers
56,1,Auntie's Snitch
58,2,Blightsoil Druid
59,3,Earwig Squad
60,5,Fendeep Summoner
61,0,Festercreep
62,2,Final-Sting Faerie
63,1,Frogtosser Banneret
64,3,Maralen of the Mornsong
66,2,Moonglove Changeling
68,2,Nightshade Schemers
70,2,Offalsnout
71,1,Oona's Blackguard
73,1,Prickly Boggart
76,2,Scarblade Elite
77,2,Squeaking Pie Grubfellows
78,5,Stenchskipper
79,1,Stinkdrinker Bandit
82,3,Weed-Pruner Poplar
83,1,Weirding Shaman
84,8,Boldwyr Heavyweights
85,5,Boldwyr Intimidator
86,4,Borderland Behemoth
87,1,Brighthearth Banneret
88,3,Countryside Crusher
89,2,Fire Juggler
92,3,Lightning Crafter
93,4,Lunk Errant
94,1,Mudbutton Clanger
95,3,Pyroclast Consul
96,2,Rage Forger
100,2,Seething Pathblazer
101,2,Sensation Gorger
104,1,Spitebellows
105,0,Stingmoggie
107,1,Sunflare Shaman
108,2,Taurean Mauler
110,2,Vengeful Firebrand
111,3,War-Spike Changeling
112,3,Ambassador Oak
113,3,Bosk Banneret
114,2,Bramblewood Paragon
115,4,Chameleon Colossus
119,3,Elvish Warrior
120,5,Everbark Shaman
121,0,Fertilid
122,4,Game-Trail Changeling
123,3,Gilt-Leaf Archdruid
